District,Mandal,RBK,QTY(MTs),No Of Farmers,Amount(Rs),Season
ANANTHAPUR,GORANTLA,PALASAMUDRAM,5.5,1,13750,Kharif_2020
ANANTHAPUR,VIDAPANKAL,UNDABANDA,8.75,1,46156.25,Kharif_2020
ANANTHAPUR,GOOTY,JAKKALACHERUVU,83,1,153550,Kharif_2020
ANANTHAPUR,GORANTLA,GOWNIVARIPALLI,958.5,29,1773225,Kharif_2020
ANANTHAPUR,HINDUPUR,CHALIVENDALA,2056.5,66,3804525,Kharif_2020
ANANTHAPUR,PENUKONDA,MUNIMADUGU,374.5,10,692825,Kharif_2020
ANANTHAPUR,TADIPARTRI,BRAMHANAPALLI1,797,13,1474450,Kharif_2020
ANANTHAPUR,KANEKAL,HANAKANAHAL,168.5,15,859350,Rabi_2020
ANANTHAPUR,PENUKONDA,ERRAMANCHI,266,9,492100,Kharif_2020
ANANTHAPUR,KANEKAL,YERRAGUNTA2,3512.5,43,6498125,Kharif_2020
ANANTHAPUR,SOMANDEPALLI,KETHAGANICHERUVU,2232,75,4129200,Kharif_2020
ANANTHAPUR,KANEKAL,BENIKAL,472,11,873200,Kharif_2020
ANANTHAPUR,KANEKAL,HULIKERA2,533,9,986050,Kharif_2020
ANANTHAPUR,BELUGUPPA,SEERPI,866,12,1602100,Kharif_2020
ANANTHAPUR,KALYANDURG,BORAMPALLI,262.5,29,1384687.5,Kharif_2020
ANANTHAPUR,PEDDAVADUGUR,KRISTIPADU2,643,13,1189550,Kharif_2020
ANANTHAPUR,PARIGI,P.NARASAPURAM,590.5,28,1092425,Kharif_2020
ANANTHAPUR,OBULA DEVARA CHERUVU,INAGALURU,85.5,1,158175,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,CHINNAYEKKALURU,2764,37,5113400,Kharif_2020
ANANTHAPUR,CHILMATHUR,VEERAPURAM,4942.5,115,9143625,Kharif_2020
ANANTHAPUR,CK PALLI,MEDAPURAM2,67.5,11,303750,Kharif_2020
ANANTHAPUR,GOOTY,KOTHAPETA,83.05,18,438088.75,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,CHIYYEDU,120,8,720000,Kharif_2020
ANANTHAPUR,YELLANUR,VENNAPUSAPALLI,479.5,42,2445450,Rabi_2020
ANANTHAPUR,PUTLUR,DOSALEDU,102.5,9,522750,Rabi_2020
ANANTHAPUR,PEDDAPAPPUR,TABJULA,398,39,2029800,Rabi_2020
ANANTHAPUR,BELUGUPPA,SREERANGAPURAM,607,47,3095700,Rabi_2020
ANANTHAPUR,BELUGUPPA,YERRAGUDI,40.5,3,206550,Rabi_2020
ANANTHAPUR,YADIKI,YADIKI5,2301.5,48,4257775,Kharif_2020
ANANTHAPUR,YELLANUR,YELLANOOR-1,404.5,7,748325,Kharif_2020
ANANTHAPUR,D.HIREHAL,MURADI,110.5,5,237575,Kharif_2020
ANANTHAPUR,BUKKARAYASAMUDRAM,AKULEDU1,84,3,155400,Kharif_2020
ANANTHAPUR,ANANTHAPURAM RURAL,ITUKALAPALLI,24,4,144000,Kharif_2020
ANANTHAPUR,D.HIREHAL,M.HANUMAPURAM,175,9,892500,Rabi_2020
ANANTHAPUR,D.HIREHAL,PULAKURTHI,30,2,153000,Rabi_2020
ANANTHAPUR,GUMMAGATTA,RANGASAMUDRAM,9,1,19350,Kharif_2020
ANANTHAPUR,YELLANUR,MALLAGUNDLA,167,2,308950,Kharif_2020
ANANTHAPUR,TADIPARTRI,VENKATAREDDYPALLI1,88.5,9,451350,Rabi_2020
ANANTHAPUR,MADAKASIRA,BULASAMUDRAM,12,1,22200,Kharif_2020
ANANTHAPUR,RAYADURG,TAHSILDARROAD,45,1,83250,Kharif_2020
ANANTHAPUR,PUTTAPARTHY,PEDABALLI1,75,3,138750,Kharif_2020
ANANTHAPUR,BOMMANAHAL,GONEHAL,235,2,434750,Kharif_2020
ANANTHAPUR,KOTHACHERUVU,BANDLAPALLI,70.5,2,130425,Kharif_2020
ANANTHAPUR,AGALI,RAGELINGANAHALLI,19.5,1,36075,Kharif_2020
ANANTHAPUR,D.HIREHAL,HULIKAL,200,1,370000,Kharif_2020
ANANTHAPUR,PENUKONDA,MAVATURU,1308,32,2419800,Kharif_2020
ANANTHAPUR,RODDAM,RODDAM2,820,21,1517000,Kharif_2020
ANANTHAPUR,PUTLUR,KADAVAKALLU,2495.5,45,4616675,Kharif_2020
ANANTHAPUR,RODDAM,PEDDAMANTHURU,1547,45,2861950,Kharif_2020
ANANTHAPUR,BELUGUPPA,BELUGUPPA2,695,11,1285750,Kharif_2020
ANANTHAPUR,LEPAKSHI,CHOLASAMUDRAM,869.5,38,1608575,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,KUMMETHA,2031,29,3757350,Kharif_2020
ANANTHAPUR,LEPAKSHI,KANCHISAMUDRAM,2617,76,4841450,Kharif_2020
ANANTHAPUR,GUNTHAKAL,NELAGONDA,68,2,125800,Kharif_2020
ANANTHAPUR,BELUGUPPA,N.GUNDLAPALLI,716.5,13,1325525,Kharif_2020
ANANTHAPUR,YELLANUR,BUKKAPURAM,1058.5,20,1958225,Kharif_2020
ANANTHAPUR,PARIGI,YERRAGUNTA,736.5,37,1362525,Kharif_2020
ANANTHAPUR,TADIPARTRI,YARRAGUNTTAPALLI2,6561,108,12137850,Kharif_2020
ANANTHAPUR,OBULA DEVARA CHERUVU,SUNNAMPALLI,171.5,6,317275,Kharif_2020
ANANTHAPUR,PARIGI,BEECHIGANIPALLI,190,12,351500,Kharif_2020
ANANTHAPUR,BOMMANAHAL,LINGADAHAL,610,10,1128500,Kharif_2020
ANANTHAPUR,KANAGANAPALLI,KANAGANAPALLI,165.55,21,868122.5,Kharif_2020
ANANTHAPUR,TADIPARTRI,GENNEVARIPALLI-3,1545.5,21,2859175,Kharif_2020
ANANTHAPUR,PUTLUR,PUTLUR,1632.5,32,3020125,Kharif_2020
ANANTHAPUR,RODDAM,REDDIPALLE,253,14,468050,Kharif_2020
ANANTHAPUR,CHILMATHUR,SETTIPALLI,1341,32,2480850,Kharif_2020
ANANTHAPUR,PEDDAVADUGUR,RAVULUDIKI,594,9,1098900,Kharif_2020
ANANTHAPUR,LEPAKSHI,SIRIVARAM,735,30,1359750,Kharif_2020
ANANTHAPUR,HINDUPUR,SANTHEBIDANUR,978.5,34,1810225,Kharif_2020
ANANTHAPUR,SOMANDEPALLI,CHALLAPALLI,1119.5,37,2071075,Kharif_2020
ANANTHAPUR,LEPAKSHI,LEPAKSHI3,1217.5,40,2252375,Kharif_2020
ANANTHAPUR,CHILMATHUR,MORASALAPALLI,629.5,32,1164575,Kharif_2020
ANANTHAPUR,MADAKASIRA,KALLUMARI,518,18,958300,Kharif_2020
ANANTHAPUR,PEDDAPAPPUR,PEDDAPAPPUR2,92.5,7,471750,Rabi_2020
ANANTHAPUR,RAYADURG,T.VEERAPURAM,547.5,17,2792250,Rabi_2020
ANANTHAPUR,BELUGUPPA,BELUGUPPA1,43,10,219300,Rabi_2020
ANANTHAPUR,HINDUPUR,KIRIKERA3,50,3,92500,Kharif_2020
ANANTHAPUR,NARPALA,CHAMALURU,2031.5,40,3758275,Kharif_2020
ANANTHAPUR,RODDAM,THURAKALAPATNAM,155.5,10,287675,Kharif_2020
ANANTHAPUR,YELLANUR,VENNAPUSAPALLI,28,1,51800,Kharif_2020
ANANTHAPUR,HINDUPUR,KIRIKERA1,307.5,11,568875,Kharif_2020
ANANTHAPUR,RODDAM,DODAGATTA,133.5,5,246975,Kharif_2020
ANANTHAPUR,TANAKALLU,TANAKAL3,116.5,2,215525,Kharif_2020
ANANTHAPUR,HINDUPUR,PULAKUNTA,139,5,257150,Kharif_2020
ANANTHAPUR,RAPTHADU,M.BANDAMEEDAPALLI,209.5,16,1257000,Kharif_2020
